Unique ID,Organization name,Location Name,Description,Category Tags (Comma-separated),Is Highlighted?,Website,Website 2,Address,Address 2,City,State,Zipcode,Country,Phone Work,Phone Mobile,Phone Other,Phone Other Type,Email,Email 2,Linkedin URL,Twitter URL,Facebook URL,Admin Invitations (Comma-separated)
A-00001,Organization 1,Place 1,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Cars,Trucks,Boats",true,https://www.google.com,http://www.facebook.com,2000 N Lombard St.,,Portland,OR,97203,USA,(508) 973 - 8000,406.241.9223,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg1,http://Great Organization,""
A-00002,Organization 2,Place 2,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Desks,Tables,Chairs",false,https://www.google.com,http://www.facebook.com,2010 N Lombard St.,,Portland,OR,97204,USA,(508) 973 - 8001,406.241.9224,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg2,http://Great Organization,""
A-00003,Organization 3,Place 3,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Juice,Food,Burgers",false,https://www.google.com,http://www.facebook.com,2020 N Lombard St.,,Portland,OR,97205,USA,(508) 973 - 8002,406.241.9225,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg3,http://Great Organization,""
A-00004,Organization 4,Place 4,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Plants,Animals,Junk",true,https://www.google.com,http://www.facebook.com,2030 N Lombard St.,,Portland,OR,97206,USA,(508) 973 - 8003,406.241.9226,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg4,http://Great Organization,""
A-00005,Organization 5,Place 5,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Ping Pong,Football,Basketball",false,https://www.google.com,http://www.facebook.com,2040 N Lombard St.,,Portland,OR,97207,USA,(508) 973 - 8004,406.241.9227,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg5,http://Great Organization,""
A-00006,Organization 6,Place 6,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Boats,Trucks,Cars",true,https://www.google.com,http://www.facebook.com,2050 N Lombard St.,,Portland,OR,97208,USA,(508) 973 - 8005,406.241.9228,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg6,http://Great Organization,""
A-00007,Organization 7,Place 7,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Chairs,Tables,Desks",false,https://www.google.com,http://www.facebook.com,2060 N Lombard St.,,Portland,OR,97209,USA,(508) 973 - 8006,406.241.9229,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg7,http://Great Organization,""
A-00008,Organization 8,Place 8,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Burgers,Food,Juice",false,https://www.google.com,http://www.facebook.com,2070 N Lombard St.,,Portland,OR,97210,USA,(508) 973 - 8007,406.241.9230,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg8,http://Great Organization,""
A-00009,Organization 9,Place 9,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Junk,Animals,Plants",true,https://www.google.com,http://www.facebook.com,2080 N Lombard St.,,Portland,OR,97211,USA,(508) 973 - 8008,406.241.9231,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg9,http://Great Organization,""
A-00010,Organization 10,Place 10,"This block of text goes on and on and does not have any visual separation between what would normally make up a new paragraph. Instead, it will continue to have more text added to it and look like it has not been formatted. It just keeps going and going and going and will start new topics without separating them with paragraphs. You see, even though this is nice, let's talk about Cascading Style Sheets (CSS), oftentimes called style sheets, for a minute. Style sheets are often used to affect the appearance of Web pages. CSS code contains selectors and definitions for the various tags, classes, or ids that are used when marking up and HTML document. JavaScript, on the other hand, can add additional functionality to a Web page. Since it is a programming language, you can write code to perform any number of tasks. You could change the content within a block of text, change an image when the user places their mouse over a specific part of the page, validate form content, send alert messages, and more. It can be learned through books, tutorials, or classes that are offered in many place, especially on the Web. If you want to delve into server side programming, you might look into PHP, ASP, Perl, Java, or a number of other available languages. These allow to save information into databases, handle feedback forms, create shopping carts, and more. Did you read all of this or did you give up after trying for a bit?","Basketball,Football,Ping Pong",false,https://www.google.com,http://www.facebook.com,2090 N Lombard St.,,Portland,OR,97212,USA,(508) 973 - 8009,406.241.9232,,Main,ccbughunt@gmail.com,ccbughunt+2@gmail.com,http://Great Organization,http://GreatOrg10,http://Great Organization,""
